data_structure,k,test,test,test,test,test,test,test,test,test,test
Dynamic_Array++,11,0.000616,0.000566,0.000504,0.000465,0.000480,0.000465,0.000618,0.000679,0.000681,0.000596
Dynamic_Array++,12,0.001777,0.001687,0.001683,0.001690,0.001670,0.001638,0.001419,0.001381,0.001368,0.001412
Dynamic_Array++,13,0.004950,0.004170,0.004281,0.003809,0.003664,0.003626,0.003192,0.003185,0.003252,0.003199
Dynamic_Array++,14,0.012257,0.012154,0.012730,0.012520,0.012283,0.012365,0.012338,0.012205,0.012157,0.012306
Dynamic_Array++,15,0.061726,0.062199,0.061558,0.061469,0.061801,0.061453,0.061558,0.062073,0.062411,0.062218
Dynamic_Array++,16,0.289356,0.287085,0.287227,0.285038,0.286167,0.285916,0.285499,0.285446,0.284794,0.285268
Dynamic_Array++,17,1.174574,1.170145,1.185900,1.177238,1.175501,1.173446,1.172186,1.173487,1.173439,1.169186
Dynamic_Array++,18,4.704372,4.716878,4.711765,4.710265,4.716141,4.708732,4.722880,4.710969,4.708366,4.713070
Dynamic_Array++,19,32.894744,33.409388,33.126187,33.109180,32.911265,34.108254,34.984029,34.857840,34.057950,34.363467
Dynamic_Array++,20,196.694566,189.980168,188.987313,188.610596,188.665231,189.104635,189.374666,189.188412,189.939688,189.736002
Dynamic_Array++,21,878.477970,833.291980,567.118434,541.913731,530.231627,529.778753,529.337096,527.122562,536.281256,532.370821
