data_structure,k,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10
Linked_List++,11,0.005151,0.002854,0.002173,0.002297,0.002174,0.002419,0.002553,0.001662,0.002389,0.002333
Linked_List++,12,0.005423,0.008991,0.007284,0.007069,0.005351,0.00997,0.008582,0.008542,0.006967,0.004638
Linked_List++,13,0.025329,0.020938,0.015953,0.026103,0.026375,0.029865,0.024177,0.027166,0.027436,0.019723
Linked_List++,14,0.077037,0.072124,0.090872,0.10912,0.099329,0.121609,0.064113,0.086773,0.090189,0.07335
Linked_List++,15,0.259129,0.403917,0.309215,0.381353,0.34076,0.372835,0.357614,0.287531,0.245622,0.363463
Linked_List++,16,1.33113,1.48377,1.59146,1.47512,1.21985,1.20809,1.43383,1.6925,1.30857,1.42016
Linked_List++,17,5.12343,5.98742,5.94561,5.53276,7.00787,6.12723,5.99869,4.30568,5.80097,4.95161
Linked_List++,18,14.95,19.5766,19.4781,19.6986,17.7646,17.6199,21.5822,20.8456,12.3191,16.8487
Linked_List++,19,104.321,59.4853,71.2368,62.3501,61.1504,60.985,61.6265,58.6975,61.0833,60.4713
Linked_List++,20,437.44,259.947,264.426,259.753,339.748,326.583,354.219,325.125,355.041,338.008
